y_true,proba,label_pred
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
1,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
1,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
1,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
1,0.266574182,0
1,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
1,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
0,0.266574182,0
1,0.266574182,0
0,0.266574182,0
0,0.266574182,0
